ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type
ELV,Elevance Health,Health Care,S&P 500,86561210368,399.14,395364135.59999996,NYQ,EQUITY
EME,Emcor,Industrials,S&P 500,36761190400,833.4,378563616.0,NYQ,EQUITY
EMR,Emerson Electric,Industrials,S&P 500,91744378880,163.8,587532582.0,NYQ,EQUITY
ETR,Entergy,Utilities,S&P 500,50326204416,107.85,276937230.0,NYQ,EQUITY
EOG,EOG Resources,Energy,S&P 500,76240445440,143.14,460711835.4,NYQ,EQUITY
EQT,EQT Corporation,Energy,S&P 500,33815398400,54.06,306366129.0,NYQ,EQUITY
EFX,Equifax,Industrials,S&P 500,21201326080,180.46,214962147.4,NYQ,EQUITY
EQIX,Equinix,Real Estate,S&P 500,105496813568,1069.17,731889631.8000001,NMS,EQUITY
EQR,Equity Residential,Real Estate,S&P 500,24903776256,64.42,185936734.4,NYQ,EQUITY
ERIE,Erie Indemnity,Financials,S&P 500,13499675648,258.17,77373549.0,NMS,EQUITY
ESS,Essex Property Trust,Real Estate,S&P 500,19386869760,281.27,121564893.99999999,NYQ,EQUITY
EL,Estée Lauder Companies (The),Consumer Staples,S&P 500,31722178560,87.68,215035200.00000003,NYQ,EQUITY
EG,Everest Group,Financials,S&P 500,13944102912,363.67,129299231.80000001,NYQ,EQUITY
EVRG,Evergy,Utilities,S&P 500,19210856448,83.32,169030450.79999998,NMS,EQUITY
ES,Eversource Energy,Utilities,S&P 500,26908526592,71.55,192889498.5,NYQ,EQUITY
EXC,Exelon,Utilities,S&P 500,46588084224,45.22,374704225.0,NMS,EQUITY
EXE,Expand Energy,Energy,S&P 500,23032952832,96.28,265222516.0,NMS,EQUITY
EXPE,Expedia Group,Consumer Discretionary,S&P 500,39074697216,325.57,604811389.0,NMS,EQUITY
EXPD,Expeditors International,Industrials,S&P 500,23979370496,184.47,252135440.7,NYQ,EQUITY
EXR,Extra Space Storage,Real Estate,S&P 500,32390303744,146.76,167649818.39999998,NYQ,EQUITY
XOM,ExxonMobil,Energy,S&P 500,656877944832,159.75,2335811782.5,NYQ,EQUITY
FFIV,"F5, Inc.",Information Technology,S&P 500,23950469120,422.95,308004878.5,NMS,EQUITY
FDS,FactSet,Financials,S&P 500,9886865408,277.99,203196790.5,NYQ,EQUITY
FICO,Fair Isaac,Information Technology,S&P 500,22552467456,1044.21,543866336.4,NYQ,EQUITY
FAST,Fastenal,Industrials,S&P 500,59922325504,52.22,447084663.2,NMS,EQUITY
FRT,Federal Realty Investment Trust,Real Estate,S&P 500,10187705344,117.21,121014636.6,NYQ,EQUITY
FDX,FedEx,Industrials,S&P 500,77307633664,326.77,481966143.79999995,NYQ,EQUITY
FDXF,FedEx Freight,Industrials,S&P 500,21117941760,141.24,139615740.0,NYQ,EQUITY
FERG,Ferguson Enterprises,Industrials,S&P 500,47430737920,245.18,1829368889.4,NYQ,EQUITY
FIS,Fidelity National Information Services,Financials,S&P 500,21667571712,41.92,334431052.8,NYQ,EQUITY
